Open,Close,Low,High,Volume,TotalPrice,NumTransactions,Mean,Timestamp
61265.820000,61266.010000,61258.000000,61269.990000,0.347660,5819943.630000,95,61262.564526,1719492785439
61266.000000,61274.790000,61266.000000,61274.790000,0.135800,1041636.520000,17,61272.736471,1719492853501
61280.000000,61298.990000,61262.000000,61299.000000,1.073750,5085441.100000,83,61270.374699,1719492917545
61305.380000,61304.340000,61291.760000,61328.750000,0.387040,3065452.230000,50,61309.044600,1719492982639
61304.330000,61329.990000,61304.330000,61329.990000,1.509060,4046412.870000,66,61309.285909,1719493045701
61332.510000,61355.980000,61332.510000,61357.250000,0.721480,5275802.670000,86,61346.542674,1719493112753
61355.990000,61348.000000,61336.340000,61355.990000,0.101680,4232649.200000,69,61342.742029,1719493180853
61348.000000,61339.180000,61314.000000,61348.000000,1.675250,14719577.820000,240,61331.574250,1719493251937
61352.260000,61397.370000,61334.000000,61397.370000,7.546780,10737541.170000,175,61357.378114,1719493336081
61400.000000,61470.000000,61400.000000,61482.130000,4.625560,68266212.340001,1111,61445.735680,1719493396390
61470.000000,61460.000000,61420.000000,61514.180000,10.763810,73754952.600000,1200,61462.460500,1719493456598
61477.160000,61551.270000,61477.150000,61561.120000,3.398510,25286403.190000,411,61524.095353,1719493518677
61560.000000,61537.410000,61533.230000,61613.040000,1.559360,15025777.950000,244,61581.057172,1719493580787
61541.130000,61600.000000,61538.410000,61613.110000,8.150180,31587508.520000,513,61574.090682,1719493642968
61600.000000,61614.870000,61555.560000,61619.020000,2.899830,22051312.440000,358,61595.844804,1719493717043
61614.870000,61685.620000,61614.860000,61768.090000,17.314380,74403146.810000,1206,61694.151584,1719493779343
61690.710000,61712.710000,61690.710000,61749.350000,10.156460,47460120.360000,769,61716.671469,1719493843398
61700.020000,61693.620000,61666.300000,61700.020000,2.731440,12460747.170000,202,61686.867178,1719493904471
61686.010000,61650.010000,61650.000000,61686.010000,0.628860,14184284.600000,230,61670.802609,1719493967526
61644.000000,61612.090000,61600.000000,61652.260000,5.716480,10723892.030000,174,61631.563391,1719494028623
61600.000000,61630.000000,61555.350000,61630.000000,4.260530,25631270.270000,416,61613.630457,1719494088688
61633.230000,61619.990000,61596.400000,61633.230000,0.623810,12200264.900000,198,61617.499495,1719494149812
61619.990000,61638.980000,61614.010000,61640.000000,1.099720,3882564.310000,63,61628.004921,1719494210864
61638.990000,61719.100000,61638.980000,61719.100000,4.017440,11414905.310000,185,61702.190865,1719494284982
61719.090000,61738.410000,61710.630000,61770.000000,6.706200,19444773.340000,315,61729.439175,1719494351063
61738.420000,61694.010000,61690.600000,61738.420000,1.288200,14503161.720000,235,61715.581787,1719494414146
61696.190000,61755.010000,61691.980000,61755.010000,1.875020,8393390.170000,136,61716.104191,1719494475247
61755.010000,61769.990000,61727.150000,61769.990000,2.264190,7842498.360000,127,61751.955591,1719494537326
61756.010000,61783.710000,61756.010000,61814.560000,8.419160,23234607.370000,376,61794.168537,1719494602403
61794.000000,61809.990000,61794.000000,61832.880000,2.946140,18421778.100000,298,61818.047315,1719494662505
61818.950000,61798.000000,61780.030000,61832.580000,13.579090,34172766.340000,553,61795.237505,1719494740596
61794.290000,61699.990000,61692.540000,61794.290000,9.670580,20994904.070000,340,61749.717853,1719494801693
61699.990000,61690.000000,61680.010000,61719.560000,2.618880,15673379.560000,254,61706.218740,1719494872792
61681.970000,61593.430000,61585.590000,61681.980000,7.207040,14050002.580000,228,61622.818333,1719494935874
61588.000000,61588.030000,61582.000000,61610.000000,2.535000,14599557.460000,237,61601.508270,1719494995945
61580.000000,61642.000000,61564.000000,61655.990000,1.873300,6901264.210000,112,61618.430446,1719495056294
61612.750000,61669.150000,61580.000000,61710.000000,3.059920,10294105.900000,167,61641.352695,1719495117144
61610.000000,61807.780000,61610.000000,61867.420000,12.234060,30953624.490000,501,61783.681617,1719495177445
61830.950000,61770.000000,61763.700000,61839.990000,7.026390,14706383.090000,238,61791.525588,1719495238202
61770.000000,61775.400000,61770.000000,61814.000000,4.029070,11986338.960000,194,61785.252371,1719495299364
61775.410000,61785.990000,61742.510000,61786.000000,3.179380,9450887.080000,153,61770.503791,1719495361859
61785.990000,61835.720000,61785.990000,61835.720000,3.219080,19717011.140000,319,61808.812351,1719495422171
61835.710000,61790.010000,61773.330000,61835.720000,1.786760,13473206.460000,218,61803.699358,1719495484426
61793.380000,61806.730000,61790.000000,61823.000000,3.659920,26885043.800000,435,61804.698391,1719495546022
61806.730000,61791.330000,61780.460000,61806.730000,1.330040,16437725.050000,266,61795.958835,1719495606494
61786.150000,61777.350000,61777.350000,61803.690000,0.620510,6241132.720000,101,61793.393267,1719495667206
61777.360000,61791.290000,61777.360000,61796.580000,2.267380,12295070.790000,199,61784.275327,1719495729432
